"term","justice","justiceName","post_mn","post_sd","post_med","post_025","post_975"
2020,117,"ACBarrett",1.011,0.456,0.981,0.202,1.979
1965,97,"AFortas",-1.328,0.262,-1.317,-1.869,-0.837
1966,97,"AFortas",-1.519,0.224,-1.514,-1.97,-1.103
1967,97,"AFortas",-1.361,0.227,-1.354,-1.83,-0.931
1968,97,"AFortas",-1.103,0.292,-1.089,-1.712,-0.573
1962,96,"AJGoldberg",-1.148,0.226,-1.145,-1.607,-0.732
1963,96,"AJGoldberg",-1.288,0.206,-1.282,-1.709,-0.899
1964,96,"AJGoldberg",-0.786,0.252,-0.779,-1.304,-0.318
1987,106,"AMKennedy",1.223,0.281,1.217,0.703,1.794
1988,106,"AMKennedy",1.488,0.23,1.48,1.06,1.955
1989,106,"AMKennedy",1.359,0.215,1.353,0.951,1.803
1990,106,"AMKennedy",1.203,0.215,1.197,0.793,1.644
1991,106,"AMKennedy",0.86,0.207,0.858,0.464,1.274
1992,106,"AMKennedy",1.031,0.215,1.029,0.622,1.468
1993,106,"AMKennedy",0.875,0.218,0.871,0.455,1.308
1994,106,"AMKennedy",0.851,0.213,0.845,0.45,1.282
1995,106,"AMKennedy",0.747,0.211,0.745,0.341,1.168
1996,106,"AMKennedy",0.835,0.213,0.833,0.426,1.267
1997,106,"AMKennedy",0.829,0.225,0.825,0.403,1.295
1998,106,"AMKennedy",0.958,0.227,0.953,0.528,1.416
1999,106,"AMKennedy",1.093,0.228,1.092,0.653,1.541
2000,106,"AMKennedy",0.972,0.225,0.967,0.543,1.423
2001,106,"AMKennedy",1.06,0.233,1.053,0.617,1.537
2002,106,"AMKennedy",0.905,0.238,0.901,0.445,1.383
2003,106,"AMKennedy",0.771,0.223,0.766,0.353,1.216
2004,106,"AMKennedy",0.543,0.22,0.541,0.117,0.978
2005,106,"AMKennedy",0.5,0.224,0.498,0.067,0.946
2006,106,"AMKennedy",0.461,0.204,0.458,0.064,0.873
2007,106,"AMKennedy",0.412,0.223,0.409,-0.017,0.858
2008,106,"AMKennedy",0.579,0.202,0.577,0.19,0.981
2009,106,"AMKennedy",0.521,0.216,0.516,0.11,0.955
2010,106,"AMKennedy",0.579,0.214,0.577,0.168,1.006
2011,106,"AMKennedy",0.302,0.211,0.3,-0.102,0.724
2012,106,"AMKennedy",0.245,0.207,0.243,-0.16,0.654
2013,106,"AMKennedy",0.067,0.23,0.067,-0.379,0.516
2014,106,"AMKennedy",-0.224,0.215,-0.222,-0.648,0.192
2015,106,"AMKennedy",-0.27,0.234,-0.27,-0.725,0.188
2016,106,"AMKennedy",-0.046,0.232,-0.044,-0.5,0.414
2017,106,"AMKennedy",0.399,0.236,0.398,-0.055,0.88
1986,105,"AScalia",1.391,0.233,1.383,0.953,1.872
1987,105,"AScalia",1.644,0.246,1.639,1.186,2.138
1988,105,"AScalia",1.815,0.256,1.806,1.34,2.348
1989,105,"AScalia",1.998,0.275,1.99,1.49,2.561
1990,105,"AScalia",2.156,0.304,2.147,1.588,2.781
1991,105,"AScalia",2.513,0.312,2.506,1.931,3.149
1992,105,"AScalia",2.551,0.346,2.542,1.902,3.259
1993,105,"AScalia",2.65,0.366,2.643,1.956,3.397
1994,105,"AScalia",2.899,0.385,2.892,2.177,3.695
1995,105,"AScalia",3.187,0.398,3.179,2.434,3.983
1996,105,"AScalia",3.407,0.405,3.399,2.649,4.213
1997,105,"AScalia",3.481,0.416,3.475,2.697,4.329
1998,105,"AScalia",3.463,0.435,3.451,2.63,4.347
1999,105,"AScalia",3.54,0.427,3.528,2.73,4.418
2000,105,"AScalia",3.54,0.418,3.529,2.756,4.378
2001,105,"AScalia",3.384,0.422,3.374,2.585,4.262
2002,105,"AScalia",3.084,0.424,3.078,2.272,3.942
2003,105,"AScalia",2.914,0.417,2.903,2.113,3.763
2004,105,"AScalia",2.713,0.406,2.704,1.947,3.528
2005,105,"AScalia",2.624,0.391,2.615,1.89,3.407
2006,105,"AScalia",2.593,0.373,2.585,1.891,3.35
2007,105,"AScalia",2.437,0.361,2.424,1.757,3.176
2008,105,"AScalia",2.323,0.353,2.31,1.662,3.046
2009,105,"AScalia",2.295,0.347,2.281,1.644,3.008
2010,105,"AScalia",2.127,0.344,2.117,1.472,2.807
2011,105,"AScalia",2.05,0.326,2.042,1.445,2.72
2012,105,"AScalia",1.727,0.327,1.716,1.111,2.4
2013,105,"AScalia",1.593,0.342,1.578,0.965,2.312
2014,105,"AScalia",1.519,0.356,1.5,0.879,2.261
2015,105,"AScalia",1.595,0.449,1.586,0.745,2.509
2018,116,"BMKavanaugh",0.604,0.266,0.599,0.09,1.127
2019,116,"BMKavanaugh",0.56,0.248,0.552,0.093,1.062
2020,116,"BMKavanaugh",0.548,0.288,0.539,-0.007,1.125
1937,77,"BNCardozo",-1.601,0.646,-1.545,-3.013,-0.493
1961,95,"BRWhite",-0.338,0.29,-0.336,-0.918,0.22
1962,95,"BRWhite",-0.301,0.168,-0.301,-0.635,0.026
1963,95,"BRWhite",-0.218,0.148,-0.216,-0.513,0.071
1964,95,"BRWhite",-0.251,0.183,-0.251,-0.617,0.106
1965,95,"BRWhite",-0.196,0.169,-0.194,-0.533,0.132
1966,95,"BRWhite",-0.017,0.152,-0.015,-0.321,0.278
1967,95,"BRWhite",0.249,0.141,0.246,-0.026,0.532
1968,95,"BRWhite",0.083,0.166,0.083,-0.241,0.415
1969,95,"BRWhite",0.131,0.167,0.128,-0.193,0.454
1970,95,"BRWhite",0.449,0.169,0.447,0.124,0.783
1971,95,"BRWhite",0.634,0.163,0.632,0.321,0.96
1972,95,"BRWhite",0.967,0.17,0.964,0.65,1.312
1973,95,"BRWhite",0.561,0.157,0.557,0.263,0.88
1974,95,"BRWhite",0.605,0.175,0.603,0.273,0.954
1975,95,"BRWhite",0.495,0.155,0.494,0.198,0.805
1976,95,"BRWhite",0.348,0.15,0.346,0.056,0.644
1977,95,"BRWhite",0.004,0.162,0.006,-0.314,0.319
1978,95,"BRWhite",-0.054,0.153,-0.053,-0.355,0.242
1979,95,"BRWhite",0.244,0.149,0.243,-0.04,0.545
1980,95,"BRWhite",0.222,0.158,0.219,-0.088,0.533
1981,95,"BRWhite",0.265,0.151,0.263,-0.033,0.565
1982,95,"BRWhite",0.674,0.168,0.67,0.357,1.015
1983,95,"BRWhite",0.896,0.183,0.892,0.553,1.265
1984,95,"BRWhite",1.08,0.2,1.077,0.7,1.479
1985,95,"BRWhite",1.299,0.2,1.293,0.917,1.707
1986,95,"BRWhite",1.274,0.193,1.268,0.916,1.675
