"","state","poll_id","Harris","Trump","pollster","daystoelection","election_date","question_id","samplesize","sampletype","state_abbrev","dem_percent2024","rep_percent2024","ev_total","called2020","dem_percent2020","rep_percent2020","called2016","called2024"
"1","Alabama",86779,NA,NA,"John Zogby Strategies",206,"11/5/24",198055,513,"lv","AL",0.341007200596886,0.645720920581522,9,"R",0.366,0.62,"R","R"
"2","Alabama",84056,NA,0.57,"WPAi",440,"11/5/24",180818,500,"rv","AL",0.341007200596886,0.645720920581522,9,"R",0.366,0.62,"R","R"
"3","Alabama",86779,NA,0.556,"John Zogby Strategies",206,"11/5/24",198056,513,"lv","AL",0.341007200596886,0.645720920581522,9,"R",0.366,0.62,"R","R"
"4","Alabama",86304,NA,0.557,"Florida Atlantic University/Mainstreet Research",250,"11/5/24",194244,191,"rv","AL",0.341007200596886,0.645720920581522,9,"R",0.366,0.62,"R","R"
"5","Alabama",86304,NA,0.574,"Florida Atlantic University/Mainstreet Research",250,"11/5/24",194255,179,"lv","AL",0.341007200596886,0.645720920581522,9,"R",0.366,0.62,"R","R"
"6","Alaska",86780,NA,0.476,"John Zogby Strategies",206,"11/5/24",198059,248,"lv","AK",0.414061275604195,0.545448093749723,3,"R",0.428,0.528,"R","R"
"7","Alaska",84473,NA,0.37,"Alaska Survey Research",389,"11/5/24",184067,1375,"lv","AK",0.414061275604195,0.545448093749723,3,"R",0.428,0.528,"R","R"
"8","Alaska",86839,NA,0.49,"Bullfinch",203,"11/5/24",198457,250,"rv","AK",0.414061275604195,0.545448093749723,3,"R",0.428,0.528,"R","R"
"9","Alaska",83400,NA,0.43,"Alaska Survey Research",476,"11/5/24",178770,1336,"lv","AK",0.414061275604195,0.545448093749723,3,"R",0.428,0.528,"R","R"
"10","Alaska",86780,NA,NA,"John Zogby Strategies",206,"11/5/24",198058,248,"lv","AK",0.414061275604195,0.545448093749723,3,"R",0.428,0.528,"R","R"
"11","Alaska",86316,NA,0.53,"Data for Progress",256,"11/5/24",194643,1120,"lv","AK",0.414061275604195,0.545448093749723,3,"R",0.428,0.528,"R","R"
"12","Alaska",86839,NA,0.55,"Bullfinch",203,"11/5/24",198452,250,"rv","AK",0.414061275604195,0.545448093749723,3,"R",0.428,0.528,"R","R"
"13","Alaska",86316,NA,0.53,"Data for Progress",256,"11/5/24",194270,1120,"lv","AK",0.414061275604195,0.545448093749723,3,"R",0.428,0.528,"R","R"
"14","Alaska",84473,NA,0.45,"Alaska Survey Research",389,"11/5/24",184066,1375,"lv","AK",0.414061275604195,0.545448093749723,3,"R",0.428,0.528,"R","R"
"15","Arizona",82213,NA,NA,"OH Predictive Insights / MBQF",644,"11/5/24",169212,1000,"rv","AZ",0.466898179761964,0.522170480988956,11,"D",0.494,0.491,"R","R"
"16","Arizona",82609,NA,NA,"Public Opinion Strategies",574,"11/5/24",171960,500,"rv","AZ",0.466898179761964,0.522170480988956,11,"D",0.494,0.491,"R","R"
"17","Arizona",87972,0.45,0.46,"Redfield & Wilton Strategies",72,"11/5/24",207513,530,"lv","AZ",0.466898179761964,0.522170480988956,11,"D",0.494,0.491,"R","R"
"18","Arizona",86467,NA,0.43,"Beacon/Shaw",243,"11/5/24",194616,1121,"rv","AZ",0.466898179761964,0.522170480988956,11,"D",0.494,0.491,"R","R"
"19","Arizona",87848,0.46,0.49,"Navigator",97,"11/5/24",206482,600,"lv","AZ",0.466898179761964,0.522170480988956,11,"D",0.494,0.491,"R","R"
"20","Arizona",87930,0.5,0.49,"Beacon/Shaw",74,"11/5/24",207244,1014,"rv","AZ",0.466898179761964,0.522170480988956,11,"D",0.494,0.491,"R","R"
"21","Arizona",87160,NA,0.45,"Fabrizio/Impact",161,"11/5/24",200866,600,"lv","AZ",0.466898179761964,0.522170480988956,11,"D",0.494,0.491,"R","R"
"22","Arizona",87026,NA,0.388,"Florida Atlantic University/Mainstreet Research",170,"11/5/24",199913,609,"rv","AZ",0.466898179761964,0.522170480988956,11,"D",0.494,0.491,"R","R"
"23","Arizona",87026,NA,0.432,"Florida Atlantic University/Mainstreet Research",170,"11/5/24",199912,501,"lv","AZ",0.466898179761964,0.522170480988956,11,"D",0.494,0.491,"R","R"
"24","Arizona",83042,NA,NA,"Public Opinion Strategies",507,"11/5/24",174711,500,"rv","AZ",0.466898179761964,0.522170480988956,11,"D",0.494,0.491,"R","R"
"25","Arizona",81967,NA,NA,"Blueprint Polling",670,"11/5/24",167075,618,"v","AZ",0.466898179761964,0.522170480988956,11,"D",0.494,0.491,"R","R"
"26","Arizona",87959,0.476,0.487,"Spry Strategies",83,"11/5/24",207439,600,"lv","AZ",0.466898179761964,0.522170480988956,11,"D",0.494,0.491,"R","R"
"27","Arizona",87959,0.461,0.464,"Spry Strategies",83,"11/5/24",207440,600,"lv","AZ",0.466898179761964,0.522170480988956,11,"D",0.494,0.491,"R","R"
"28","Arizona",87542,0.474,0.526,"Emerson",106,"11/5/24",204148,800,"rv","AZ",0.466898179761964,0.522170480988956,11,"D",0.494,0.491,"R","R"
"29","Arizona",83042,NA,0.43,"Public Opinion Strategies",507,"11/5/24",174712,500,"rv","AZ",0.466898179761964,0.522170480988956,11,"D",0.494,0.491,"R","R"
"30","Arizona",86467,NA,0.49,"Beacon/Shaw",243,"11/5/24",194615,1121,"rv","AZ",0.466898179761964,0.522170480988956,11,"D",0.494,0.491,"R","R"
"31","Arizona",87621,0.49,0.47,"Morning Consult",104,"11/5/24",204801,804,"rv","AZ",0.466898179761964,0.522170480988956,11,"D",0.494,0.491,"R","R"
"32","Arizona",85449,NA,0.46,"VCreek/AMG",340,"11/5/24",189245,694,"lv","AZ",0.466898179761964,0.522170480988956,11,"D",0.494,0.491,"R","R"
"33","Arizona",87930,0.48,0.47,"Beacon/Shaw",74,"11/5/24",207243,1014,"rv","AZ",0.466898179761964,0.522170480988956,11,"D",0.494,0.491,"R","R"
"34","Arizona",85449,NA,0.4,"VCreek/AMG",340,"11/5/24",189246,694,"lv","AZ",0.466898179761964,0.522170480988956,11,"D",0.494,0.491,"R","R"
"35","Arizona",87951,0.49,0.47,"Morning Consult",74,"11/5/24",207449,805,"rv","AZ",0.466898179761964,0.522170480988956,11,"D",0.494,0.491,"R","R"
"36","Arizona",86657,NA,0.42,"Fabrizio",212,"11/5/24",196527,400,"lv","AZ",0.466898179761964,0.522170480988956,11,"D",0.494,0.491,"R","R"
"37","Arizona",84650,NA,0.46,"Morning Consult",372,"11/5/24",185582,800,"rv","AZ",0.466898179761964,0.522170480988956,11,"D",0.494,0.491,"R","R"
"38","Arizona",87453,NA,0.469,"Emerson",113,"11/5/24",203366,1000,"rv","AZ",0.466898179761964,0.522170480988956,11,"D",0.494,0.491,"R","R"
"39","Arizona",87806,0.45,0.42,"Siena/NYT",89,"11/5/24",206207,677,"rv","AZ",0.466898179761964,0.522170480988956,11,"D",0.494,0.491,"R","R"
